seed,method,iteration,new_labels,cumulative_labels,mean_return,return_standard_deviation_across_episodes,failure_rate,failure_count,evaluation_episodes,training_failures
1,dagger,12,500,6000,500.0,0.0,0.0,0,20,0
1,dagger,13,500,6500,500.0,0.0,0.0,0,20,0
1,dagger,14,500,7000,500.0,0.0,0.0,0,20,0
1,dagger,15,500,7500,500.0,0.0,0.0,0,20,0
1,dagger,16,500,8000,500.0,0.0,0.0,0,20,0
1,dagger,17,500,8500,500.0,0.0,0.0,0,20,0
1,dagger,18,500,9000,500.0,0.0,0.0,0,20,0
1,dagger,19,500,9500,500.0,0.0,0.0,0,20,0
1,dagger,20,500,10000,500.0,0.0,0.0,0,20,0
1,smile,1,500,500,74.1,21.70691134178237,1.0,20,20,0
1,smile,2,500,1000,80.95,31.55546703821701,1.0,20,20,0
1,smile,3,500,1500,93.2,43.535732450482556,1.0,20,20,0
1,smile,4,500,2000,112.8,82.22627317348147,1.0,20,20,0
1,smile,5,500,2500,80.05,30.968492052407072,1.0,20,20,0
1,smile,6,500,3000,92.1,45.49494477411749,1.0,20,20,1
1,smile,7,500,3500,77.95,29.697600913205093,1.0,20,20,2
1,smile,8,500,4000,75.45,19.714144668232503,1.0,20,20,1
1,smile,9,500,4500,84.15,29.5757924661369,1.0,20,20,3
1,smile,10,500,5000,108.35,55.108325142395685,1.0,20,20,3
1,smile,11,500,5500,91.4,31.11816189944387,1.0,20,20,2
1,smile,12,500,6000,89.45,28.667882726144953,1.0,20,20,2
1,smile,13,500,6500,103.7,38.2336239454227,1.0,20,20,3
1,smile,14,500,7000,102.85,36.27984977918183,1.0,20,20,3
1,smile,15,500,7500,110.15,45.446974596775966,1.0,20,20,3
1,smile,16,500,8000,96.45,29.13841965515632,1.0,20,20,3
1,smile,17,500,8500,114.75,54.55811122097245,1.0,20,20,3
1,smile,18,500,9000,110.75,39.13933443481123,1.0,20,20,3
1,smile,19,500,9500,117.45,50.75773340093114,1.0,20,20,3
1,smile,20,500,10000,126.05,47.42096055543371,1.0,20,20,3
1,supervised,1,500,500,74.1,21.70691134178237,1.0,20,20,0
1,supervised,2,500,1000,183.15,183.5977328291393,0.75,15,20,0
1,supervised,3,500,1500,337.25,199.70875669334083,0.4,8,20,0
1,supervised,4,500,2000,392.55,164.3649825844909,0.3,6,20,0
1,supervised,5,500,2500,500.0,0.0,0.0,0,20,0
1,supervised,6,500,3000,500.0,0.0,0.0,0,20,0
1,supervised,7,500,3500,500.0,0.0,0.0,0,20,0
1,supervised,8,500,4000,500.0,0.0,0.0,0,20,0
1,supervised,9,500,4500,500.0,0.0,0.0,0,20,0
1,supervised,10,500,5000,500.0,0.0,0.0,0,20,0
1,supervised,11,500,5500,500.0,0.0,0.0,0,20,0
1,supervised,12,500,6000,500.0,0.0,0.0,0,20,0
1,supervised,13,500,6500,500.0,0.0,0.0,0,20,0
1,supervised,14,500,7000,500.0,0.0,0.0,0,20,0
1,supervised,15,500,7500,500.0,0.0,0.0,0,20,0
1,supervised,16,500,8000,500.0,0.0,0.0,0,20,0
1,supervised,17,500,8500,500.0,0.0,0.0,0,20,0
1,supervised,18,500,9000,500.0,0.0,0.0,0,20,0
1,supervised,19,500,9500,500.0,0.0,0.0,0,20,0
1,supervised,20,500,10000,500.0,0.0,0.0,0,20,0
2,dagger,1,500,500,76.45,26.672973212598553,1.0,20,20,0
2,dagger,2,500,1000,177.05,46.27361559247343,1.0,20,20,5
2,dagger,3,500,1500,485.5,44.456158178592084,0.1,2,20,1
2,dagger,4,500,2000,494.5,23.973944189473706,0.05,1,20,0
2,dagger,5,500,2500,494.35,24.62777903100481,0.05,1,20,0
2,dagger,6,500,3000,500.0,0.0,0.0,0,20,0
2,dagger,7,500,3500,500.0,0.0,0.0,0,20,0
2,dagger,8,500,4000,500.0,0.0,0.0,0,20,0
2,dagger,9,500,4500,500.0,0.0,0.0,0,20,0
2,dagger,10,500,5000,500.0,0.0,0.0,0,20,0
2,dagger,11,500,5500,500.0,0.0,0.0,0,20,0
2,dagger,12,500,6000,500.0,0.0,0.0,0,20,0
2,dagger,13,500,6500,500.0,0.0,0.0,0,20,0
2,dagger,14,500,7000,500.0,0.0,0.0,0,20,0
2,dagger,15,500,7500,500.0,0.0,0.0,0,20,0
2,dagger,16,500,8000,500.0,0.0,0.0,0,20,0
2,dagger,17,500,8500,500.0,0.0,0.0,0,20,0
2,dagger,18,500,9000,500.0,0.0,0.0,0,20,0
2,dagger,19,500,9500,500.0,0.0,0.0,0,20,0
2,dagger,20,500,10000,500.0,0.0,0.0,0,20,0
2,smile,1,500,500,76.45,26.672973212598553,1.0,20,20,0
2,smile,2,500,1000,81.9,30.476056175299327,1.0,20,20,0
2,smile,3,500,1500,98.4,50.95233066308155,1.0,20,20,0
2,smile,4,500,2000,86.2,29.749957983163608,1.0,20,20,0
2,smile,5,500,2500,86.65,34.041555487374545,1.0,20,20,0
2,smile,6,500,3000,80.35,27.927182099166398,1.0,20,20,2
2,smile,7,500,3500,78.7,18.428510520386613,1.0,20,20,1
2,smile,8,500,4000,86.6,26.09291091465266,1.0,20,20,1
2,smile,9,500,4500,92.55,44.29726289512705,1.0,20,20,1
2,smile,10,500,5000,90.3,49.50565624249414,1.0,20,20,4
2,smile,11,500,5500,89.1,30.18426742526643,1.0,20,20,2
2,smile,12,500,6000,87.75,33.57956968157871,1.0,20,20,3
2,smile,13,500,6500,95.75,34.767621431441064,1.0,20,20,3
2,smile,14,500,7000,102.3,37.4741244060485,1.0,20,20,3
2,smile,15,500,7500,113.9,49.7261500621152,1.0,20,20,3
2,smile,16,500,8000,104.55,38.73431940798754,1.0,20,20,2
2,smile,17,500,8500,107.15,48.57290911609063,1.0,20,20,2
2,smile,18,500,9000,125.95,46.7466308946431,1.0,20,20,2
2,smile,19,500,9500,112.75,43.45903243285566,1.0,20,20,4
2,smile,20,500,10000,114.5,41.99583312663293,1.0,20,20,2
2,supervised,1,500,500,76.45,26.672973212598553,1.0,20,20,0
2,supervised,2,500,1000,166.4,86.64029085823753,1.0,20,20,0
2,supervised,3,500,1500,345.0,172.40127609736535,0.45,9,20,0
2,supervised,4,500,2000,493.9,26.58928355559811,0.05,1,20,0
2,supervised,5,500,2500,500.0,0.0,0.0,0,20,0
2,supervised,6,500,3000,500.0,0.0,0.0,0,20,0
2,supervised,7,500,3500,500.0,0.0,0.0,0,20,0
2,supervised,8,500,4000,500.0,0.0,0.0,0,20,0
2,supervised,9,500,4500,500.0,0.0,0.0,0,20,0
2,supervised,10,500,5000,500.0,0.0,0.0,0,20,0
2,supervised,11,500,5500,500.0,0.0,0.0,0,20,0
2,supervised,12,500,6000,500.0,0.0,0.0,0,20,0
2,supervised,13,500,6500,500.0,0.0,0.0,0,20,0
2,supervised,14,500,7000,500.0,0.0,0.0,0,20,0
2,supervised,15,500,7500,500.0,0.0,0.0,0,20,0
2,supervised,16,500,8000,500.0,0.0,0.0,0,20,0
2,supervised,17,500,8500,500.0,0.0,0.0,0,20,0
2,supervised,18,500,9000,500.0,0.0,0.0,0,20,0
2,supervised,19,500,9500,500.0,0.0,0.0,0,20,0
2,supervised,20,500,10000,500.0,0.0,0.0,0,20,0
3,dagger,1,500,500,84.95,25.17036948477316,1.0,20,20,0
3,dagger,2,500,1000,270.0,66.19667665374146,1.0,20,20,4
3,dagger,3,500,1500,457.5,64.78387144961313,0.45,9,20,1
3,dagger,4,500,2000,493.6,27.89695323866031,0.05,1,20,0
3,dagger,5,500,2500,494.9,22.230384612057435,0.05,1,20,0
3,dagger,6,500,3000,500.0,0.0,0.0,0,20,0
3,dagger,7,500,3500,500.0,0.0,0.0,0,20,0
3,dagger,8,500,4000,500.0,0.0,0.0,0,20,0
3,dagger,9,500,4500,500.0,0.0,0.0,0,20,0
3,dagger,10,500,5000,500.0,0.0,0.0,0,20,0
3,dagger,11,500,5500,500.0,0.0,0.0,0,20,0
3,dagger,12,500,6000,500.0,0.0,0.0,0,20,0
3,dagger,13,500,6500,500.0,0.0,0.0,0,20,0
3,dagger,14,500,7000,500.0,0.0,0.0,0,20,0
3,dagger,15,500,7500,500.0,0.0,0.0,0,20,0
3,dagger,16,500,8000,500.0,0.0,0.0,0,20,0
3,dagger,17,500,8500,500.0,0.0,0.0,0,20,0
3,dagger,18,500,9000,500.0,0.0,0.0,0,20,0
3,dagger,19,500,9500,500.0,0.0,0.0,0,20,0
3,dagger,20,500,10000,500.0,0.0,0.0,0,20,0
3,smile,1,500,500,84.95,25.17036948477316,1.0,20,20,0
3,smile,2,500,1000,76.7,32.685011855589096,1.0,20,20,0
3,smile,3,500,1500,81.7,40.806984696250225,1.0,20,20,0
3,smile,4,500,2000,88.15,63.9173489750631,1.0,20,20,1
3,smile,5,500,2500,73.5,21.10568643754569,1.0,20,20,1
3,smile,6,500,3000,86.65,38.576255650334964,1.0,20,20,2
3,smile,7,500,3500,87.65,28.290060091841443,1.0,20,20,2
3,smile,8,500,4000,97.65,34.32531864382325,1.0,20,20,2
3,smile,9,500,4500,101.75,35.57509662671347,1.0,20,20,1
3,smile,10,500,5000,99.8,31.267555069112774,1.0,20,20,2
3,smile,11,500,5500,105.7,43.75739937427726,1.0,20,20,2
3,smile,12,500,6000,101.85,32.083134198516206,1.0,20,20,3
3,smile,13,500,6500,112.4,33.25417267050858,1.0,20,20,2
3,smile,14,500,7000,105.6,30.292573347274413,1.0,20,20,2
3,smile,15,500,7500,104.4,33.848781366542575,1.0,20,20,2
3,smile,16,500,8000,128.0,59.889064110236355,1.0,20,20,2
3,smile,17,500,8500,116.45,39.422677483905126,1.0,20,20,3
3,smile,18,500,9000,126.4,42.63261662154928,1.0,20,20,3
3,smile,19,500,9500,121.55,44.86699789377489,1.0,20,20,3
3,smile,20,500,10000,115.05,37.15168233068322,1.0,20,20,3
3,supervised,1,500,500,84.95,25.17036948477316,1.0,20,20,0
3,supervised,2,500,1000,188.9,160.9477865644632,0.85,17,20,0
3,supervised,3,500,1500,335.35,202.0334811361721,0.4,8,20,0
3,supervised,4,500,2000,350.9,183.25798754761007,0.4,8,20,0
3,supervised,5,500,2500,500.0,0.0,0.0,0,20,0
3,supervised,6,500,3000,500.0,0.0,0.0,0,20,0
3,supervised,7,500,3500,500.0,0.0,0.0,0,20,0
3,supervised,8,500,4000,500.0,0.0,0.0,0,20,0
3,supervised,9,500,4500,500.0,0.0,0.0,0,20,0
3,supervised,10,500,5000,500.0,0.0,0.0,0,20,0
3,supervised,11,500,5500,500.0,0.0,0.0,0,20,0
3,supervised,12,500,6000,500.0,0.0,0.0,0,20,0
3,supervised,13,500,6500,500.0,0.0,0.0,0,20,0
3,supervised,14,500,7000,500.0,0.0,0.0,0,20,0
3,supervised,15,500,7500,500.0,0.0,0.0,0,20,0
3,supervised,16,500,8000,500.0,0.0,0.0,0,20,0
3,supervised,17,500,8500,500.0,0.0,0.0,0,20,0
3,supervised,18,500,9000,500.0,0.0,0.0,0,20,0
3,supervised,19,500,9500,500.0,0.0,0.0,0,20,0
3,supervised,20,500,10000,500.0,0.0,0.0,0,20,0
4,dagger,1,500,500,85.6,35.276621153392796,1.0,20,20,0
4,dagger,2,500,1000,347.8,106.48877875156612,0.75,15,20,5
4,dagger,3,500,1500,485.65,43.052613161107885,0.1,2,20,1
4,dagger,4,500,2000,494.2,25.281613872535903,0.05,1,20,0
4,dagger,5,500,2500,500.0,0.0,0.0,0,20,0
4,dagger,6,500,3000,500.0,0.0,0.0,0,20,0
4,dagger,7,500,3500,500.0,0.0,0.0,0,20,0
4,dagger,8,500,4000,500.0,0.0,0.0,0,20,0
4,dagger,9,500,4500,500.0,0.0,0.0,0,20,0
4,dagger,10,500,5000,500.0,0.0,0.0,0,20,0
4,dagger,11,500,5500,500.0,0.0,0.0,0,20,0
4,dagger,12,500,6000,500.0,0.0,0.0,0,20,0
4,dagger,13,500,6500,500.0,0.0,0.0,0,20,0
4,dagger,14,500,7000,500.0,0.0,0.0,0,20,0
4,dagger,15,500,7500,500.0,0.0,0.0,0,20,0
4,dagger,16,500,8000,500.0,0.0,0.0,0,20,0
4,dagger,17,500,8500,500.0,0.0,0.0,0,20,0
4,dagger,18,500,9000,500.0,0.0,0.0,0,20,0
4,dagger,19,500,9500,500.0,0.0,0.0,0,20,0
4,dagger,20,500,10000,500.0,0.0,0.0,0,20,0
4,smile,1,500,500,85.6,35.276621153392796,1.0,20,20,0
4,smile,2,500,1000,74.8,32.044656340800415,1.0,20,20,1
4,smile,3,500,1500,71.7,36.286498866658384,1.0,20,20,0
4,smile,4,500,2000,70.6,14.711899945282392,1.0,20,20,2
4,smile,5,500,2500,90.9,37.92479400075892,1.0,20,20,0
4,smile,6,500,3000,91.6,35.344589402057004,1.0,20,20,1
4,smile,7,500,3500,83.05,30.937800503591074,1.0,20,20,1
4,smile,8,500,4000,89.15,28.943522591419306,1.0,20,20,1
4,smile,9,500,4500,72.55,15.051494942363698,1.0,20,20,2
4,smile,10,500,5000,84.6,37.70464162407594,1.0,20,20,3
4,smile,11,500,5500,85.65,23.05271133728091,1.0,20,20,2
4,smile,12,500,6000,97.4,37.69403135776273,1.0,20,20,3
4,smile,13,500,6500,88.35,36.20258968637465,1.0,20,20,1
4,smile,14,500,7000,97.6,43.415895706526655,1.0,20,20,2
4,smile,15,500,7500,104.5,41.862274185715236,1.0,20,20,4
4,smile,16,500,8000,92.7,31.058171227552986,1.0,20,20,2
4,smile,17,500,8500,97.05,36.86526142590067,1.0,20,20,3
4,smile,18,500,9000,105.85,40.462667979262065,1.0,20,20,3
4,smile,19,500,9500,107.8,38.973837378426055,1.0,20,20,2
4,smile,20,500,10000,104.95,44.858081769063645,1.0,20,20,4
4,supervised,1,500,500,85.6,35.276621153392796,1.0,20,20,0
4,supervised,2,500,1000,267.95,203.7970743165858,0.6,12,20,0
4,supervised,3,500,1500,352.3,181.58168960553263,0.4,8,20,0
4,supervised,4,500,2000,493.4,28.768733027368448,0.05,1,20,0
4,supervised,5,500,2500,500.0,0.0,0.0,0,20,0
4,supervised,6,500,3000,500.0,0.0,0.0,0,20,0
4,supervised,7,500,3500,500.0,0.0,0.0,0,20,0
4,supervised,8,500,4000,500.0,0.0,0.0,0,20,0
4,supervised,9,500,4500,500.0,0.0,0.0,0,20,0
4,supervised,10,500,5000,500.0,0.0,0.0,0,20,0
4,supervised,11,500,5500,500.0,0.0,0.0,0,20,0
4,supervised,12,500,6000,500.0,0.0,0.0,0,20,0
4,supervised,13,500,6500,500.0,0.0,0.0,0,20,0
4,supervised,14,500,7000,500.0,0.0,0.0,0,20,0
4,supervised,15,500,7500,500.0,0.0,0.0,0,20,0
4,supervised,16,500,8000,500.0,0.0,0.0,0,20,0
4,supervised,17,500,8500,500.0,0.0,0.0,0,20,0
4,supervised,18,500,9000,500.0,0.0,0.0,0,20,0
4,supervised,19,500,9500,500.0,0.0,0.0,0,20,0
4,supervised,20,500,10000,500.0,0.0,0.0,0,20,0
